table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
public,CustomerPreferredPreparationMethod,2,PreparationMethodId,uuid,uuid,NO,,,,
public,CustomerPreferredPreparationMethod,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerPreferredTasteProfile,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerPreferredTasteProfile,2,TasteProfileId,uuid,uuid,NO,,,,
public,CustomerPreferredTasteProfile,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,DietaryAttribute,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,DietaryAttribute,2,Code,character varying,varchar,NO,,100,,
public,DietaryAttribute,3,Name,character varying,varchar,NO,,200,,
public,DietaryAttribute,4,IsSystem,boolean,bool,NO,false,,,
public,DietaryAttribute,5,IsActive,boolean,bool,NO,true,,,
public,DietaryAttribute,6,DisplayOrder,integer,int4,NO,0,,32,0
public,DietaryAttribute,7,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,DietaryAttribute,8,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,EmailOutbox,1,Id,uuid,uuid,NO,,,,
public,EmailOutbox,2,RecipientEmail,text,text,NO,,,,
public,EmailOutbox,3,Subject,text,text,NO,,,,
public,EmailOutbox,4,HtmlBody,text,text,NO,,,,
public,EmailOutbox,5,EmailType,text,text,NO,,,,
public,EmailOutbox,6,ReferenceId,uuid,uuid,NO,,,,
public,EmailOutbox,7,Status,text,text,NO,,,,
public,EmailOutbox,8,RetryCount,integer,int4,NO,,,32,0
public,EmailOutbox,9,LastError,text,text,YES,,,,
public,EmailOutbox,10,NextRetryAt,timestamp with time zone,timestamptz,YES,,,,
public,EmailOutbox,11,SentAt,timestamp with time zone,timestamptz,YES,,,,
public,EmailOutbox,12,CreatedAt,timestamp with time zone,timestamptz,NO,,,,
public,EmailOutbox,13,UpdatedAt,timestamp with time zone,timestamptz,NO,,,,
public,FoodAiProfile,1,FoodItemId,uuid,uuid,NO,,,,
public,FoodAiProfile,2,SearchText,text,text,NO,,,,
public,FoodAiProfile,3,Embedding,ARRAY,_float4,YES,,,,
public,FoodAiProfile,4,EmbeddingModel,character varying,varchar,YES,,100,,
public,FoodAiProfile,5,ContentHash,character varying,varchar,NO,,64,,
public,FoodAiProfile,6,Status,character varying,varchar,NO,,20,,
public,FoodAiProfile,7,Version,integer,int4,NO,,,32,0
public,FoodAiProfile,8,EmbeddedAt,timestamp with time zone,timestamptz,YES,,,,
public,FoodAiProfile,9,LastAttemptAt,timestamp with time zone,timestamptz,YES,,,,
public,FoodAiProfile,10,LastError,character varying,varchar,YES,,2000,,
public,FoodAiProfile,11,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodAiProfile,12,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodCategories,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,FoodCategories,2,BoothId,uuid,uuid,YES,,,,
public,FoodCategories,3,Name,character varying,varchar,NO,,100,,
public,FoodCategories,4,Description,text,text,YES,,,,
public,FoodCategories,5,IsDeleted,boolean,bool,NO,false,,,
public,FoodCategories,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodCategories,7,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodCategories,8,Code,character varying,varchar,NO,,100,,
public,FoodCategories,9,DisplayOrder,integer,int4,NO,0,,32,0
public,FoodCategories,10,IsActive,boolean,bool,NO,true,,,
public,FoodCategories,11,IsSelectable,boolean,bool,NO,true,,,
public,FoodCategories,12,IsSystem,boolean,bool,NO,false,,,
public,FoodImages,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,FoodImages,2,FoodItemId,uuid,uuid,NO,,,,
public,FoodImages,3,ImageUrl,character varying,varchar,NO,,500,,
public,FoodImages,4,DisplayOrder,integer,int4,NO,0,,32,0
public,FoodImages,5,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodImages,6,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodItem,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,FoodItem,2,BoothId,uuid,uuid,NO,,,,
public,FoodItem,3,CategoryId,uuid,uuid,NO,,,,
public,FoodItem,4,Name,character varying,varchar,NO,,200,,
public,FoodItem,5,Description,text,text,YES,,,,
public,FoodItem,6,Price,numeric,numeric,NO,,,12,2
public,FoodItem,7,ThumbnailUrl,character varying,varchar,YES,,500,,
public,FoodItem,8,IsAvailable,boolean,bool,NO,true,,,
public,FoodItem,9,IsFeatured,boolean,bool,NO,false,,,
public,FoodItem,10,IsDeleted,boolean,bool,NO,false,,,
public,FoodItem,11,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodItem,12,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodItem,13,EstimatedServingCount,integer,int4,YES,,,32,0
public,FoodItem,14,IsShareable,boolean,bool,YES,,,,
public,FoodItem,15,SemanticProfileUpdatedAt,timestamp with time zone,timestamptz,YES,,,,
public,FoodItem,16,SemanticProfileVersion,integer,int4,NO,0,,32,0
public,FoodItem,17,ServingSizeDescription,character varying,varchar,YES,,300,,
public,FoodItem,18,ServingTemperature,character varying,varchar,YES,,20,,
public,FoodItem,19,SpiceLevel,character varying,varchar,NO,'UNKNOWN'::character varying,20,,
public,FoodItemAllergen,1,FoodItemId,uuid,uuid,NO,,,,
public,FoodItemAllergen,2,AllergenId,uuid,uuid,NO,,,,
public,FoodItemAllergen,3,DeclarationType,character varying,varchar,NO,,20,,
public,FoodItemAllergen,4,IsConfirmed,boolean,bool,NO,,,,
public,FoodItemAllergen,5,Source,character varying,varchar,NO,,30,,
public,FoodItemAllergen,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodItemAllergen,7,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodItemCourse,1,FoodItemId,uuid,uuid,NO,,,,
public,FoodItemCourse,2,Course,character varying,varchar,NO,,30,,
public,FoodItemCourse,3,IsPrimary,boolean,bool,NO,,,,
public,FoodItemCourse,4,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,FoodItemDietaryAttribute,1,FoodItemId,uuid,uuid,NO,,,,
