table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
public,Reviews,6,Content,text,text,YES,,,,
public,Reviews,7,ImageUrl,character varying,varchar,YES,,500,,
public,Reviews,8,IsVisible,boolean,bool,NO,true,,,
public,Reviews,9,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Reviews,10,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Role,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Role,2,RoleName,character varying,varchar,NO,,50,,
public,Role,3,Description,text,text,YES,,,,
public,Role,4,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Role,5,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,SupportAttachments,1,Id,uuid,uuid,NO,,,,
public,SupportAttachments,2,TicketId,uuid,uuid,NO,,,,
public,SupportAttachments,3,MessageId,uuid,uuid,YES,,,,
public,SupportAttachments,4,FileUrl,character varying,varchar,NO,,1000,,
public,SupportAttachments,5,OriginalFileName,character varying,varchar,NO,,255,,
public,SupportAttachments,6,ContentType,character varying,varchar,NO,,100,,
public,SupportAttachments,7,FileSize,bigint,int8,NO,,,64,0
public,SupportAttachments,8,CreatedAt,timestamp with time zone,timestamptz,NO,,,,
public,SupportMessages,1,Id,uuid,uuid,NO,,,,
public,SupportMessages,2,TicketId,uuid,uuid,NO,,,,
public,SupportMessages,3,SenderId,uuid,uuid,NO,,,,
public,SupportMessages,4,SenderRole,character varying,varchar,NO,,30,,
public,SupportMessages,5,Body,character varying,varchar,NO,,4000,,
public,SupportMessages,6,IsInternalNote,boolean,bool,NO,,,,
public,SupportMessages,7,CreatedAt,timestamp with time zone,timestamptz,NO,,,,
public,SupportStatusHistories,1,Id,uuid,uuid,NO,,,,
public,SupportStatusHistories,2,TicketId,uuid,uuid,NO,,,,
public,SupportStatusHistories,3,ActorId,uuid,uuid,NO,,,,
public,SupportStatusHistories,4,FromStatus,character varying,varchar,YES,,30,,
public,SupportStatusHistories,5,ToStatus,character varying,varchar,NO,,30,,
public,SupportStatusHistories,6,Note,character varying,varchar,YES,,1000,,
public,SupportStatusHistories,7,CreatedAt,timestamp with time zone,timestamptz,NO,,,,
public,SupportTickets,1,Id,uuid,uuid,NO,,,,
public,SupportTickets,2,TicketCode,character varying,varchar,NO,,24,,
public,SupportTickets,3,RequesterId,uuid,uuid,NO,,,,
public,SupportTickets,4,RequesterRole,character varying,varchar,NO,,30,,
public,SupportTickets,5,BoothId,uuid,uuid,YES,,,,
public,SupportTickets,6,NightMarketId,uuid,uuid,YES,,,,
public,SupportTickets,7,Category,character varying,varchar,NO,,50,,
public,SupportTickets,8,Title,character varying,varchar,NO,,200,,
public,SupportTickets,9,Description,character varying,varchar,NO,,4000,,
public,SupportTickets,10,Status,character varying,varchar,NO,,30,,
public,SupportTickets,11,Priority,character varying,varchar,NO,,20,,
public,SupportTickets,12,PageUrl,character varying,varchar,YES,,1000,,
public,SupportTickets,13,AssignedAdminId,uuid,uuid,YES,,,,
public,SupportTickets,14,DueAt,timestamp with time zone,timestamptz,NO,,,,
public,SupportTickets,15,FirstRespondedAt,timestamp with time zone,timestamptz,YES,,,,
public,SupportTickets,16,ResolvedAt,timestamp with time zone,timestamptz,YES,,,,
public,SupportTickets,17,ClosedAt,timestamp with time zone,timestamptz,YES,,,,
public,SupportTickets,18,CreatedAt,timestamp with time zone,timestamptz,NO,,,,
public,SupportTickets,19,UpdatedAt,timestamp with time zone,timestamptz,NO,,,,
public,SystemSetting,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,SystemSetting,2,Key,character varying,varchar,NO,,100,,
public,SystemSetting,3,Value,text,text,NO,,,,
public,SystemSetting,4,Description,character varying,varchar,YES,,500,,
public,SystemSetting,5,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,SystemSetting,6,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,TasteProfile,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,TasteProfile,2,Code,character varying,varchar,NO,,100,,
public,TasteProfile,3,Name,character varying,varchar,NO,,200,,
public,TasteProfile,4,IsSystem,boolean,bool,NO,false,,,
public,TasteProfile,5,IsActive,boolean,bool,NO,true,,,
public,TasteProfile,6,DisplayOrder,integer,int4,NO,0,,32,0
public,TasteProfile,7,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,TasteProfile,8,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,User,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,User,2,RoleId,uuid,uuid,NO,,,,
public,User,3,UserName,character varying,varchar,NO,,100,,
public,User,4,PasswordHash,character varying,varchar,NO,,255,,
public,User,5,FullName,character varying,varchar,NO,,150,,
public,User,6,Email,character varying,varchar,NO,,150,,
public,User,7,Phone,character varying,varchar,YES,,20,,
public,User,8,Address,character varying,varchar,YES,,255,,
public,User,9,DoB,date,date,YES,,,,
public,User,10,AvatarUrl,character varying,varchar,YES,,500,,
public,User,11,AuthProvider,character varying,varchar,NO,'Local'::character varying,30,,
public,User,12,GoogleId,character varying,varchar,YES,,100,,
public,User,13,RefreshTokenHash,character varying,varchar,YES,,64,,
public,User,14,RefreshTokenExpiresAt,timestamp with time zone,timestamptz,YES,,,,
public,User,15,EmailVerificationTokenHash,character varying,varchar,YES,,64,,
public,User,16,EmailVerificationTokenExpiresAt,timestamp with time zone,timestamptz,YES,,,,
public,User,17,PasswordResetOtpHash,character varying,varchar,YES,,64,,
public,User,18,PasswordResetOtpExpiresAt,timestamp with time zone,timestamptz,YES,,,,
public,User,19,PasswordResetTokenHash,character varying,varchar,YES,,64,,
public,User,20,PasswordResetTokenExpiresAt,timestamp with time zone,timestamptz,YES,,,,
public,User,21,Status,character varying,varchar,NO,,20,,
public,User,22,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,User,23,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,UserDeviceToken,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,UserDeviceToken,2,UserId,uuid,uuid,NO,,,,
public,UserDeviceToken,3,Token,character varying,varchar,NO,,4096,,
public,UserDeviceToken,4,Platform,character varying,varchar,NO,,20,,
public,UserDeviceToken,5,DeviceId,character varying,varchar,YES,,200,,
public,UserDeviceToken,6,IsActive,boolean,bool,NO,true,,,
public,UserDeviceToken,7,IsDeleted,boolean,bool,NO,false,,,
public,UserDeviceToken,8,LastUsedAt,timestamp with time zone,timestamptz,NO,,,,
public,UserDeviceToken,9,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,UserDeviceToken,10,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,UserStatusHistories,1,Id,uuid,uuid,NO,,,,
public,UserStatusHistories,2,UserId,uuid,uuid,NO,,,,
public,UserStatusHistories,3,ChangedByAdminId,uuid,uuid,NO,,,,
public,UserStatusHistories,4,PreviousStatus,character varying,varchar,NO,,20,,
public,UserStatusHistories,5,NewStatus,character varying,varchar,NO,,20,,
public,UserStatusHistories,6,Reason,character varying,varchar,NO,,1000,,
public,UserStatusHistories,7,CreatedAt,timestamp with time zone,timestamptz,NO,,,,
public,Zones,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Zones,2,NightMarketId,uuid,uuid,NO,,,,
public,Zones,3,ZoneName,character varying,varchar,NO,,100,,
public,Zones,4,Description,text,text,YES,,,,
public,Zones,5,Color,character varying,varchar,YES,,50,,
public,Zones,6,Status,character varying,varchar,NO,'Active'::character varying,20,,
public,Zones,7,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Zones,8,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Zones,9,IsDeleted,boolean,bool,NO,false,,,
public,Zones,10,Capacity,integer,int4,NO,0,,32,0
public,Zones,11,DefaultBoothHeight,double precision,float8,NO,60.0,,53,
public,Zones,12,DefaultBoothWidth,double precision,float8,NO,80.0,,53,
public,Zones,13,DefaultGap,double precision,float8,NO,20.0,,53,
public,Zones,14,ZoneCode,character varying,varchar,YES,,20,,
public,Zones,15,WidthMeters,double precision,float8,YES,,,53,
public,Zones,16,LengthMeters,double precision,float8,YES,,,53,
public,Zones,17,BoothWidthMeters,double precision,float8,YES,,,53,
public,Zones,18,BoothLengthMeters,double precision,float8,YES,,,53,
public,Zones,19,HorizontalGapMeters,double precision,float8,YES,,,53,
public,Zones,20,VerticalGapMeters,double precision,float8,YES,,,53,
public,__EFMigrationsHistory,1,MigrationId,character varying,varchar,NO,,150,,
public,__EFMigrationsHistory,2,ProductVersion,character varying,varchar,NO,,32,,
